1726.0,5952.0,3904.0,6090.0,19036.0,10942.0,6646.0,3803.0,11002.0,7699.0,1
327.0,890.0,637.0,2193.0,5985.0,3000.0,1139.0,651.0,60631.0,1347.0,0
120.0,415.0,348.0,973.0,2569.0,1596.0,567.0,486.0,69136.0,590.0,1
773.0,1458.0,1288.0,5169.0,15796.0,7197.0,2572.0,1798.0,37153.0,3596.0,0
268.0,708.0,352.0,1379.0,5206.0,2787.0,881.0,519.0,63792.0,908.0,1
840.0,2487.0,1930.0,5940.0,18539.0,8394.0,3231.0,2068.0,29604.0,3767.0,1
855.0,2262.0,2051.0,7510.0,21811.0,9717.0,3498.0,2165.0,22485.0,4446.0,1
207.0,709.0,607.0,2249.0,6677.0,2681.0,960.0,470.0,61248.0,992.0,1
260.0,731.0,632.0,2825.0,8419.0,3278.0,1230.0,628.0,57286.0,1511.0,0
549.0,1725.0,1314.0,5148.0,18233.0,6726.0,2123.0,1231.0,37155.0,2596.0,1
312.0,1143.0,939.0,3920.0,11973.0,4912.0,1536.0,948.0,49094.0,2023.0,1
184.0,766.0,932.0,3576.0,9730.0,4866.0,1813.0,1178.0,52091.0,1664.0,0
276.0,778.0,568.0,1927.0,5423.0,2327.0,918.0,454.0,63246.0,883.0,0
121.0,367.0,404.0,2028.0,5538.0,2418.0,659.0,354.0,63933.0,978.0,0
1065.0,3879.0,2821.0,7522.0,22720.0,10712.0,4438.0,2688.0,15495.0,5460.0,1
297.0,881.0,641.0,1670.0,4234.0,2818.0,1175.0,844.0,63127.0,1113.0,1
315.0,796.0,489.0,2073.0,6607.0,2864.0,1027.0,721.0,60758.0,1150.0,1
582.0,1496.0,1016.0,3474.0,10942.0,5108.0,1724.0,1068.0,49584.0,1806.0,1
244.0,615.0,406.0,1251.0,4137.0,1905.0,713.0,405.0,66323.0,801.0,0
1186.0,2078.0,1813.0,6737.0,20984.0,8789.0,3504.0,2277.0,24270.0,5162.0,1
777.0,1242.0,863.0,4783.0,18557.0,7044.0,1905.0,1576.0,36710.0,3343.0,0
